ANON_ID,group_index,original_code,q1,a1,q1_level,q2,a2,q2_level,q3,a3,q3_level
11,0,"#include <stdio.h>
#include <string.h>
#include <stdbool.h>

int IsPalindrome(char *word)
{
    int pal = true;
    
    for (int i = 0; i <= (strlen(word)-1); i++) {
        if (word[i] != word[strlen(word)-1-i]) {
            pal = false;
        }
    }
    return pal;
}",What is the purpose of the index expression 'strlen(word) - 1 - i' when accessing word in the if statement?,It selects the character at the matching position from the end of the string so it can be compared with the character at index i from the beginning.,Understand,"For the input word ""abc"", what value does `pal` have when `IsPalindrome` reaches `return pal;`?","`pal` is `false` (0), because at least one pair of characters at mirrored positions does not match.",Apply,What change should be made to the for-loop condition to avoid comparing each character pair twice while still correctly checking whether the word is a palindrome?,"Change the condition to check only the first half of the string, such as `i < strlen(word) / 2`, because each comparison already checks a character against its matching character from the other end.",Create
12,0,"int IsPalindrome(char *word) {
    size_t length = strlen(word);
    if (length == 1) return 1;

    for (int left = 0; left < length / 2; left++) {
        int right = length - left - 1;
        if (word[left] != word[right]) {
            return 0;
        }
    }

    return 1;
}",What is the purpose of calculating `right` as `length - left - 1` inside the loop?,"It finds the index of the character equally far from the end of the string as `left` is from the beginning, so the two characters can be compared.",Understand,"If `length` is 7 and `left` is 2, what value is assigned to `right` by `length - left - 1`?",The value assigned to `right` is 4.,Apply,What change should be made to the declaration of `right` to avoid a signed/unsigned type mismatch when calculating `length - left - 1`?,"Declare `right` as `size_t` instead of `int`, because `length` is a `size_t` value returned by `strlen`.",Create
13,0,"int IsPalindrome(char *word)
{
    int stringSize, checkUpperLimit;
    int i;

    // Determine the size of the string and how many
    // characters to check.
    stringSize = strlen(word);
    checkUpperLimit = stringSize / 2;

    // Check for any cases which make the word not a palindrome
    for (i = 0; i < checkUpperLimit; i++) {
        if (word[i] != word[stringSize - i - 1]) {
            return 0;
        }
    }

    // If program makes it this far, word must be a palindrome.
    return 1;
}",What is the purpose of using `word[stringSize - i - 1]` in the comparison with `word[i]`?,It accesses the character at the matching position from the end of the string so the function can compare characters from opposite ends.,Understand,"If `word` is ""noon"", which index is compared with `word[1]` by `word[stringSize - i - 1]` during the loop?","It compares `word[1]` with `word[2]`, because `4 - 1 - 1` equals 2.",Apply,What change should be made to the function parameter to show that IsPalindrome does not modify the input string?,"Change `char *word` to `const char *word`, because the function only reads characters from the string.",Create
14,0,"int IsPalindrome(char *word)
{
    int i = 0;
    int j = strlen(word)-1;
    while (word[i] == word[j]){
        i++;
        j--;
        if (i == strlen(word)) {
            return 1;
        }
    }
    return 0;
}",What is the purpose of initializing `j` to `strlen(word) - 1`?,"It makes `j` refer to the last character of the string, so the function can compare characters from the beginning and end.",Understand,"For the input ""noon"", what are the values of `i` and `j` when `if (i == strlen(word))` first evaluates as true?",`i` is 4 and `j` is -1.,Apply,What change should be made to the `if (i == strlen(word))` condition so the function returns as soon as the two indexes have met or crossed?,"Replace it with `if (i >= j)`. Once `i` is greater than or equal to `j`, all needed matching character pairs have been checked.",Create
15,0,"int IsPalindrome(char *word)
{
    int length = 0;
    
    while (word[length] != '\0')
        length++;

    for (int i = 0; i < length / 2; i++)
        if (word[i] != word[length - i - 1])  
            return 0;
    return 1;
}",What is the purpose of using `word[length - i - 1]` in the character comparison?,It accesses the character at the matching position from the end of the string so it can be compared with the character at position `i` from the beginning.,Understand,"For the string ""radar"", which pair of character positions is compared during the final iteration of the for loop?","The final iteration has i equal to 1, so it compares positions 1 and 3.",Apply,What change should be made to the `while (word[length] != '\0') length++;` section to use the provided string-library functionality more clearly?,"Replace that loop with `int length = strlen(word);`, which directly obtains the string length using the available library function.",Create
16,0,"int IsPalindrome(char *word)
{
    int palindromic = 1;
	int length = strlen(word) - 1;
	for (int i = 0; i < length; i++) {
		if (word[i] != word[length - i]) {
			palindromic = 0;
		}
	}

	return palindromic;
}",What is the purpose of using `length - i` as the second index in `word[length - i]`?,"It selects the character the same distance from the end of the string as `word[i]` is from the beginning, so matching opposite characters can be compared.",Understand,"For a word with 5 characters, how many times does the loop body execute, based on the condition `i < length` after `length` is set to `strlen(word) - 1`?","The loop body executes 4 times, because `length` is 4 and `i` takes the values 0 through 3.",Apply,What change should be made to the for-loop condition so the function avoids checking the same character pairs twice while still correctly determining whether the word is a palindrome?,Change the condition to `i < length / 2`. Only the first half of the character pairs need to be compared because the remaining comparisons repeat the same pairs in reverse order.,Create
17,1,"int IsPalindrome(char *word)
{
    int len = strlen(word);
    for (int i = 0; i<len/2; i++) {
        if (word[i] != word[(len-1-i)]) {
            return 0;
        }
    }
    return 1;
}",What is the purpose of using `word[len - 1 - i]` in the comparison with `word[i]`?,"It accesses the character at the matching position from the end of the string, so each character can be compared with its mirrored character.",Understand,How should the comparison `word[i] != word[len - 1 - i]` be changed conceptually to support palindromes containing uppercase and lowercase letters?,Compare lowercase versions of both characters so that letters with different capitalization are treated as equal.,Create,"For a word with an even length of 8 characters, how many character-pair comparisons can the loop perform before it finishes if no mismatch is found?","It can perform 4 comparisons, because the loop runs while i is less than len/2, which is 4.",Apply
18,1,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int length = strlen(word);
    int counter = 0;
for (int i = 1;i<= length;i++)
{
    if (word[i-1] == word[length-i])
    {
        counter = counter+1;
    }
    else if ((word[i-1] != word[length-i]))
    {
        counter = counter;
    }
    
    
}
if (counter == length)
{
    return 1;
}
else {
    return 0;
}

}",What is the purpose of using `word[i-1]` and `word[length-i]` in the `if` condition?,They select matching characters from the beginning and end of the string so the function can compare whether the word reads the same in both directions.,Understand,What change should be made to the `else if ((word[i-1] != word[length-i])) { counter = counter; }` block so the function can stop checking once it finds characters that do not match?,"Replace that block with `return 0;`, because one mismatched pair means the word is not a palindrome.",Create,"If `word` points to ""abca"", what value does `counter` hold immediately after the `for` loop finishes?","`counter` holds 2, because the first and last characters match in two loop iterations.",Apply
19,1,"int IsPalindrome(char* word) {
	int length = strlen(word);

	int i = 0;
	int flag = 1;
	//printf(""i=%d, flag=%d, length=%d, halfway=%d\n"", i, flag, length, floor(length / 2) - 1);
	while (flag == 1 && i<=floor(length/2)-1) {
		//printf(""i=%d: %c -- %c\n"", i, word[i], word[length - 1 - i]);
		if (word[i] != word[length - 1 - i]) {
			//printf(""%c -- %c\n"", word[i], word[length-1-i]);
			flag = 0;
			break;
		}
		i++;
	}
	return flag;
}",What is the purpose of using `length - 1 - i` as an index in `word[length - 1 - i]`?,"It selects the character the same distance from the end of the string as `word[i]` is from the beginning, so the function can compare matching opposite-side characters.",Understand,What change should be made to the loop condition `i<=floor(length/2)-1` to avoid using `floor` unnecessarily while still comparing only the needed character pairs?,"Replace it with `i < length / 2`, because integer division already truncates the result and `floor` is unnecessary.",Create,"For a word with an even length of 6, what is the largest value of `i` for which the condition `i <= floor(length/2) - 1` allows a character comparison?","The largest allowed value of `i` is 2, because `floor(6/2) - 1` equals 2.",Apply
20,1,"int IsPalindrome(char string[]) {

	int is_identical = 0;
	int string_length = strlen(string);

	char new_string[100];

	for (int i = 0; i < string_length; i++) {

		new_string[i] = string[string_length - 1 - i];

	}

	new_string[string_length] = '\0';

	if (strcmp(string, new_string) == 0) {

		is_identical = 1;

	}

	return is_identical;
}",What is the purpose of assigning '\0' to new_string[string_length] after the loop?,"It adds the null terminator that marks the end of the C string, allowing strcmp to compare new_string correctly.",Understand,What change should be made to prevent `new_string` from overflowing when the input string has 100 or more characters?,"Declare `new_string` with enough space for the longest allowed input plus the null terminator, or avoid the fixed-size array by comparing characters from opposite ends of `string` directly.",Create,"If `string` is ""noon"", what character does `new_string[1]` receive from `string[string_length - 1 - i]` when `i` is 1?","It receives `'o'`, because the expression accesses `string[2]`.",Apply
21,1,"int IsPalindrome(char *word)
{
   int length = 0;
    while (word[length] != '\0')
    {
        length++;
    }
    // printf(""Length = %d\n"", length);
    
    
    // printf(""odd\n"");
    // printf(""length/2 = %d"", length/2);
    for (int j = 0; j < (length/2); j++)
    {
        // printf(""word[j] == %c\n"", word[j]);
        // printf(""other = %c\n"", word[length-j-1]);
        if (word[j] != word[length-j-1])
        {
            return 0;
        }
    }
    

  

    //printf(""%d\n"", i/2); // if length =3 prints 1

    return 1; 
}",What is the purpose of using `word[length-j-1]` in the comparison with `word[j]`?,"It accesses the character at the matching position from the end of the string, allowing the function to compare characters from opposite ends.",Understand,What change could make this function more runtime efficient by avoiding the separate while loop used to calculate length?,"Use strlen(word) to get the string length, since <string.h> is available, instead of manually counting characters in a separate loop.",Create,"If `word` is ""radar"", which character pairs are compared by `word[j] != word[length-j-1]` during the `for` loop?","The loop compares the first and last characters (`r` and `r`), then the second and second-to-last characters (`a` and `a`).",Apply
22,1,"int IsPalindrome(char *word)
{
    for (int i = 0; i < (strlen(word)) / 2; i++) {
		if (word[i] != word[strlen(word) - i - 1]) {
			return 0;
		}
	}
	return 1;
}",What is the purpose of using `strlen(word) - i - 1` as an index in the comparison inside the loop?,"It accesses the character at the matching position from the end of the string, so it can be compared with the character at index `i` from the beginning.",Understand,What single change would make this function more runtime efficient by avoiding repeated calls to `strlen(word)` inside the loop?,Store `strlen(word)` in an integer variable before the loop and use that variable in the loop condition and index calculation.,Create,"For the input ""noon"", when i is 1, which two characters does the condition `word[i] != word[strlen(word) - i - 1]` compare?","It compares `word[1]` and `word[2]`, which are the second and third characters, both `o`.",Apply
23,1,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
	int palindrome = 0;
	int length = strlen(word);
for( int i = 0; i < length; i++) {
	if(word[i] == word[length - 1 - i]) {
		palindrome = 1;
	} else {
		palindrome = 0;
		break;
	}
}
  return palindrome;
}",What is the purpose of using `length - 1 - i` as an index in `word[length - 1 - i]`?,It accesses the character at the matching position from the end of the string so it can be compared with the character at index `i`.,Understand,What change should be made to the loop condition `i < length` to avoid comparing character pairs twice while still correctly checking whether `word` is a palindrome?,"Change it to `i < length / 2`, because only the first half of the characters need to be compared with their matching characters from the end.",Create,"For the word ""abcba"", what value does the expression `length - 1 - i` produce when `i` is 1, and which character does `word[i]` compare to?","It produces 3, so `word[1]` is compared to `word[3]`, which is the second-to-last character.",Apply
24,1,"int IsPalindrome(char *word)
{
    int len = strlen(word);
    int i = 0;
    for (i = 0; i < len/2; i++) {
        if (word[i] != word[len - 1 - i]){
            return 0;
        }
    }

    return 1;
}",What is the purpose of using `len - 1 - i` as an index in `word[len - 1 - i]`?,It accesses the character at the matching position from the end of the string so it can be compared with the character at index `i` from the beginning.,Understand,What change should be made to the parameter declaration `char *word` to show that `IsPalindrome` does not modify the input string?,"Change it to `const char *word`, because the function only reads characters from the string.",Create,"If `len` is 7 and `i` is 2, what index does `word[len - 1 - i]` access?",It accesses index 4.,Apply
25,1,"int IsPalindrome(char *word)
{
    int length = 0;
    char reverse[100] = """";


    while (word[length] != '\0')
    {
        length++;
    }
    

    for (int i = 0; i < length; i++)
    {
        reverse[i] = word[length - 1 - i];
    }
    reverse[length] = '\0';


    for (int j = 0; j < length; j++)
    {
        if (reverse[j] != word[j])
        {
            return 0;
        }
    }

    
    return 1;
}",What is the purpose of using `length - 1 - i` as the index for `word` in `reverse[i] = word[length - 1 - i];`?,It selects characters from the end of `word` toward the beginning so they are stored in `reverse` in reverse order.,Understand,What necessary change should be made to avoid writing past the end of `reverse` when `word` has 100 or more characters?,"`reverse` must be large enough to hold every character plus the terminating `\0`, or the function should avoid the fixed-size array by comparing characters directly from opposite ends of `word`.",Create,"If `word` is ""dog"", what character is assigned to `reverse[1]` when `i` is 1 in `reverse[i] = word[length - 1 - i]`?","The character 'o' is assigned to `reverse[1]` because `length - 1 - i` is `3 - 1 - 1`, which is 1.",Apply
26,1,"int IsPalindrome(char* word) {
	if (strlen(word) == 1) {
		return 1;
	}
	for (int i = 0; i < strlen(word)/2; i++) {
		if (!(word[i] == word[strlen(word) - i - 1])) {
			return 0;
		}
	}
	return 1;
}",What is the purpose of using `strlen(word) - i - 1` as an index in `word[strlen(word) - i - 1]`?,It selects the character at the matching position from the end of the string so it can be compared with the character at index `i` from the beginning.,Understand,What change should be made to avoid repeatedly calling `strlen(word)` in the `for` loop condition and character comparison?,"Store `strlen(word)` in a local variable before the loop, then use that variable for the loop limit and the right-side index.",Create,"In the expression `strlen(word) - i - 1`, what index does it calculate for comparison with `word[i]`?","It calculates the index of the character equally far from the end of the string, so `word[i]` is compared with its matching character from the right.",Apply
27,1,"#include <stdio.h>
#include <string.h>
int IsPalindrome(char *word)
{
    int length = strlen(word);
    int isPalidrome = 0;
    int opposite = length - 1;
    int counter = 0;
    
    for (int i = 0; i < length/2; i++) {
        if (word[i] == word[opposite]) {
            counter++;
        }
        opposite--;
    }
    
    if (counter == length/2) {
        isPalidrome = 1;
    }
    
    return isPalidrome;
}",What is the purpose of initializing `opposite` to `length - 1` and decrementing it during the loop?,It selects characters from the end of the string to compare with characters selected from the beginning.,Understand,What single change to the loop would let IsPalindrome stop checking as soon as it finds two characters that do not match?,"Add a mismatch check that immediately returns 0 when word[i] != word[opposite], instead of continuing through the remaining character pairs.",Create,"For the input string ""noon"", how many times does the comparison `word[i] == word[opposite]` execute in the `for` loop?",It executes 2 times because `length / 2` is 2 for a four-character string.,Apply
28,1,"#define _CRT_SECURE_NO_WARNINGS
#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
	int length = strlen(word);
	char org[100];
	strcpy(org, word);
	
	
	for (int i = 0; i < (length/2); i++)
	
	{
		char temp = org[i];
		org[i] = org[length - 1 - i];
		org[length -1 - i] = temp;
				
	}
	
	int result = strcmp(org, word);
	
	if (result == 0) {
		return 1;
	} 
	else {
		return 0;
	}
		
	
	
}",What is the purpose of the condition `i < (length / 2)` in the `for` loop that reverses `org`?,"It ensures the loop swaps only the first half of the characters with the second half, so each pair is swapped once without being swapped back.",Understand,"What change should be made to prevent `strcpy(org, word)` from writing past the end of `org` when the input string has 100 or more characters?","Either ensure the input length is at most 99 characters before copying, or allocate `org` with enough space for `length + 1` characters, including the null terminator.",Create,"For a word with an odd number of characters, why does the loop condition `i < (length / 2)` correctly avoid swapping the middle character?","Integer division truncates the fractional part, so `length / 2` gives the number of character pairs on either side of the middle. The loop swaps only those pairs, leaving the middle character unchanged.",Apply
29,1,"int IsPalindrome(char *word)
{
    int length=strlen(word);
    for (int i=0; i<length/2; i++) {
        if (word[i]!=word[length-1-i]) {
            return 0;
        }
    }
    return 1;
}",What is the purpose of using `word[length - 1 - i]` in the comparison?,It accesses the character at the matching position from the end of the string so it can be compared with the character at position `i` from the beginning.,Understand,What change should be made to the parameter declaration `char *word` to show that `IsPalindrome` does not modify the input string?,Change it to `const char *word`. This prevents the function from accidentally changing the input string.,Create,"In the expression `word[length-1-i]`, which character index is compared with `word[i]` when `length` is 6 and `i` is 2?","It compares `word[2]` with `word[3]`, because `6 - 1 - 2` equals 3.",Apply
30,1,"int IsPalindrome(char *word)
{
 size_t length = strlen(word);
 int halfsize = length/2;
 
 
 for (int i = 0; i< halfsize; i++){
  if (word[i] != word[length -1 -i]) {
   return 0;
  }
}
return 1;
}",What is the purpose of using `word[length - 1 - i]` in the comparison?,It accesses the character at the matching position from the end of the string so it can be compared with the character at position `i` from the beginning.,Understand,What change should be made to the parameter type `char *word` to show that `IsPalindrome` does not modify the input string?,"Change it to `const char *word`, which prevents the function from modifying the characters in the input string.",Create,"If `word` is ""racecar"" and `i` is 2, which two characters are compared by `word[i] != word[length - 1 - i]`?","It compares `word[2]` and `word[4]`, which are both 'c'.",Apply
31,1,"int IsPalindrome(char *word)
{
    int length = strlen(word);
    for (int i = 0; i < length/2; i++) {
        if (word[i] != word[length - i - 1]) {
            return 0;
        }
    }
    return 1;
    
}",What is the purpose of using `word[length - i - 1]` in the comparison with `word[i]`?,"It accesses the character at the matching position from the end of the string, so the function can compare characters on opposite sides.",Understand,What change should be made to the parameter declaration `char *word` to show that `IsPalindrome` does not modify the input string?,"Change it to `const char *word`, which prevents the function from changing the characters in the input string.",Create,"In the expression 'word[length - i - 1]', why is '- 1' needed when accessing the character to compare with 'word[i]'?","Because string indices start at 0, the last character is at index 'length - 1', not index 'length'.",Apply
32,1,"int IsPalindrome(char *word)
{
    int i;
    int length = strlen(word);
            if(length == 1)
            {
            return 1;
            }

    for(i=0; i < length/2; i++)
    {
        if (word[i] != word[length - 1 - i])
        {
            return 0;
        }

    }
    return 1;
}",What is the purpose of using `length - 1 - i` as an index in `word[length - 1 - i]`?,It accesses the character at the matching position from the end of the string so it can be compared with the character at position `i` from the beginning.,Understand,What necessary change should be made to the parameter declaration `char *word` to show that `IsPalindrome` does not modify the input string?,"Change it to `const char *word`, because the function only reads characters from the input string.",Create,"If the word has length 5 and no mismatch is found, how many character-pair comparisons does the loop perform before it ends?","It performs 2 comparisons, because integer division makes length / 2 equal to 2.",Apply
33,2,"int IsPalindrome(char *word)
{
	
	int length = strlen(word);
	int i;
	
	for(i=0 ; i<length/2 ; i++){
		
		if(word[i] != word[length-i-1]){
			return 0;
		}
	
	}
	
	return 1;

}","If `length` is 7 and `i` is 2, which index does `word[length-i-1]` access?","It accesses index 4, because 7 - 2 - 1 equals 4.",Apply,What is the purpose of using `word[length-i-1]` in the comparison inside the `if` statement?,"It accesses the character at the matching position from the end of the string, so it can be compared with the character at index `i` from the beginning.",Understand,What change should be made to the function parameter to show that IsPalindrome does not modify the input string?,"Change `char *word` to `const char *word`, because the function only reads characters from the string.",Create
34,2,"int IsPalindrome(char str[]) {
	int left = 0;
	int right = strlen(str) - 1;

	while (left < right) {
		if (str[left] != str[right]) {
			return 0;
		}

		left++;
		right--;
	}

	return 1;
}","For the input string ""abca"", what value does the condition `str[left] != str[right]` have when `left` is 1 and `right` is 2?","It is true because `str[1]` is `b` and `str[2]` is `c`, which are different.",Apply,What is the purpose of initializing `right` to `strlen(str) - 1` rather than `strlen(str)`?,"String indices start at 0, so `strlen(str) - 1` is the index of the last character in the string; `strlen(str)` would refer to the null terminator.",Understand,What change could make `IsPalindrome` more efficient by avoiding the `strlen(str)` call before the loop?,"Pass the string length as an additional parameter, so the function can set `right` from that value instead of scanning the string with `strlen`.",Create
35,2,"int IsPalindrome(char *word)
{
    int length = strlen(word);

    char reverse[100];
    for (int i = 0; i < length; i++) {
        reverse[length-i-1] = word[i];
    }
    reverse[length] = '\0';

    if (strcmp(reverse, word) == 0) {
        return 1;
    }
    return 0;
}","For the input word ""cat"", which index in `reverse` receives the character `word[0]` during the loop?","It is stored in `reverse[2]`, because `length - i - 1` is `3 - 0 - 1`.",Apply,What is the purpose of the statement `reverse[length] = '\0';` after the loop?,"It adds the null terminator that marks the end of the `reverse` character array as a C string, allowing `strcmp` to compare it correctly.",Understand,What specific change should be made to avoid writing past the end of `reverse` when `word` has 100 characters?,"Declare `reverse` with space for the null terminator, such as `char reverse[101];`, or otherwise ensure the input length is at most 99 characters.",Create
36,2,"int IsPalindrome(char *word)
{   int wordLength = strlen(word);
    for (int i = wordLength -1; i >= 0; i--)
    {
        if (word[i]  !=  word[wordLength - 1 - i])
        {
            return 0;
        }
    }
    return 1;
    
}","For a word with length 5, what index does the expression 'wordLength - 1 - i' produce when i is 3?","It produces index 1, because 5 - 1 - 3 equals 1.",Apply,What is the purpose of using `wordLength - 1 - i` as the second index in `word[i] != word[wordLength - 1 - i]`?,"It selects the character at the position mirrored from the opposite end of the string, so each character can be compared with its matching counterpart.",Understand,What change should be made to the loop condition `i >= 0` to avoid comparing each pair of characters twice while still correctly checking for a palindrome?,"Change it to stop when `i` reaches the middle of the word, such as `i >= wordLength / 2`, so each mirrored pair is compared only once.",Create
37,2,"int IsPalindrome(char *word)
{
    int length = strlen(word);
    for (int i=0; i < length/2; i++){
        if (word[i] != word[length-i-1])
        {
            return 0;
        }
    }
    return 1;
}","For a word with length 7, how many times can the comparison `word[i] != word[length-i-1]` be performed before the loop ends if no mismatch is found?","It can be performed 3 times, because integer division makes `length/2` equal to 3.",Apply,What is the purpose of using `word[length-i-1]` in the comparison with `word[i]`?,"It accesses the character at the matching position from the end of the string, so each character from the start can be compared with its counterpart from the end.",Understand,"To make the declaration `int length = strlen(word);` safely store the value returned by `strlen`, what type should replace `int`?","Use `size_t`, because `strlen` returns a `size_t` value.",Create
