student_code,question_1,question_2,answer_1,answer_2,modified_code_1,modified_code_2
"#include <stdio.h>
#include <string.h>
#include <stdbool.h>

int IsPalindrome(char *word)
{
    int pal = true;
    
    for (int i = 0; i <= (strlen(word)-1); i++) {
        if (word[i] != word[strlen(word)-1-i]) {
            pal = false;
        }
    }
    return pal;
}","If the input word is 'racecar', what is the value of the variable 'pal' after the loop finishes its first iteration (i = 0)?","If the input word is 'code', what is the value of 'pal' after the loop iteration where i = 1?",true,false,"#include <stdio.h>
#include <string.h>
#include <stdbool.h>

int IsPalindrome(char *word)
{
    int pal = true;
    
    for (int i = 0; i <= (strlen(word)-1); i++) {
        if (word[i] != word[strlen(word)-1-i]) {
            pal = false;
        }
        if (i == 0) {
            printf(""%d"", pal);
            return pal;
        }
    }
    return pal;
}

int main() {
    IsPalindrome(""racecar"");
    return 0;
}","#include <stdio.h>
#include <string.h>
#include <stdbool.h>

int IsPalindrome(char *word)
{
    int pal = true;
    
    for (int i = 0; i <= (strlen(word)-1); i++) {
        if (word[i] != word[strlen(word)-1-i]) {
            pal = false;
        }
        if (i == 1) {
            printf(""%d"", pal);
            return pal;
        }
    }
    return pal;
}

int main() {
    IsPalindrome(""code"");
    return 0;
}"
"int IsPalindrome(char *word) {
    size_t length = strlen(word);
    if (length == 1) return 1;

    for (int left = 0; left < length / 2; left++) {
        int right = length - left - 1;
        if (word[left] != word[right]) {
            return 0;
        }
    }

    return 1;
}","If the input word is 'radar', what is the value of the variable 'right' during the first iteration of the for loop?","If the input word is 'apple', at which value of 'left' does the function first return 0?",4,0,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word) {
    size_t length = strlen(word);
    if (length == 1) return 1;

    for (int left = 0; left < length / 2; left++) {
        int right = length - left - 1;
        if (left == 0) {
            printf(""%d\n"", right);
            return 1;
        }
        if (word[left] != word[right]) {
            return 0;
        }
    }

    return 1;
}

int main() {
    IsPalindrome(""radar"");
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word) {
    size_t length = strlen(word);
    if (length == 1) return 1;

    for (int left = 0; left < length / 2; left++) {
        int right = length - left - 1;
        if (word[left] != word[right]) {
            printf(""%d\n"", left);
            return 0;
        }
    }

    return 1;
}

int main() {
    IsPalindrome(""apple"");
    return 0;
}"
"int IsPalindrome(char *word)
{
    int stringSize, checkUpperLimit;
    int i;

    // Determine the size of the string and how many
    // characters to check.
    stringSize = strlen(word);
    checkUpperLimit = stringSize / 2;

    // Check for any cases which make the word not a palindrome
    for (i = 0; i < checkUpperLimit; i++) {
        if (word[i] != word[stringSize - i - 1]) {
            return 0;
        }
    }

    // If program makes it this far, word must be a palindrome.
    return 1;
}","If the input word is 'radar', what is the value of checkUpperLimit and how many times will the for loop iterate?","If the input word is 'apple', at which value of the loop index 'i' will the function first return 0?","checkUpperLimit is 2, and the loop will iterate 2 times (i = 0 and i = 1).","The function will return 0 when i = 0, because word[0] ('a') is not equal to word[4] ('e').","#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int stringSize, checkUpperLimit;
    int i;
    stringSize = strlen(word);
    checkUpperLimit = stringSize / 2;
    for (i = 0; i < checkUpperLimit; i++) {
        if (word[i] != word[stringSize - i - 1]) {
            return 0;
        }
    }
    return 1;
}

int main() {
    char word[] = ""radar"";
    int stringSize = strlen(word);
    int checkUpperLimit = stringSize / 2;
    int iterations = 0;
    for (int i = 0; i < checkUpperLimit; i++) iterations++;
    printf(""checkUpperLimit: %d, iterations: %d\n"", checkUpperLimit, iterations);
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindromeWithTrace(char *word)
{
    int stringSize, checkUpperLimit;
    int i;
    stringSize = strlen(word);
    checkUpperLimit = stringSize / 2;
    for (i = 0; i < checkUpperLimit; i++) {
        if (word[i] != word[stringSize - i - 1]) {
            printf(""%d\n"", i);
            return 0;
        }
    }
    return 1;
}

int main() {
    char word[] = ""apple"";
    IsPalindromeWithTrace(word);
    return 0;
}"
"int IsPalindrome(char *word)
{
    int i = 0;
    int j = strlen(word)-1;
    while (word[i] == word[j]){
        i++;
        j--;
        if (i == strlen(word)) {
            return 1;
        }
    }
    return 0;
}","If the input word is 'racecar', what are the values of i and j immediately before the while loop condition is checked for the third time?","If the input word is 'apple', how many times will the while loop body execute before the function returns?","i = 2, j = 4",0,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int i = 0;
    int j = strlen(word)-1;
    while (word[i] == word[j]){
        i++;
        j--;
        if (i == strlen(word)) {
            return 1;
        }
    }
    return 0;
}

int main() {
    char word[] = ""racecar"";
    int i = 0, j = strlen(word)-1;
    for(int count=0; count<2; count++) {
        if(word[i] == word[j]) {
            i++;
            j--;
        }
    }
    printf(""i = %d, j = %d"", i, j);
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int i = 0;
    int j = strlen(word)-1;
    while (word[i] == word[j]){
        i++;
        j--;
        if (i == strlen(word)) {
            return 1;
        }
    }
    return 0;
}

int main() {
    char word[] = ""apple"";
    int count = 0;
    int i = 0, j = strlen(word)-1;
    while (word[i] == word[j]) {
        count++;
        i++;
        j--;
        if (i == strlen(word)) break;
    }
    printf(""%d"", count);
    return 0;
}"
"int IsPalindrome(char *word)
{
    int length = 0;
    
    while (word[length] != '\0')
        length++;

    for (int i = 0; i < length / 2; i++)
        if (word[i] != word[length - i - 1])  
            return 0;
    return 1;
}","If the input string is 'radar', what is the value of the variable 'length' after the while loop finishes executing?","For the input string 'code', what are the values of 'i' and 'length - i - 1' during the first iteration of the for loop?",5,"i = 0, length - i - 1 = 3","#include <stdio.h>

int IsPalindrome(char *word)
{
    int length = 0;
    
    while (word[length] != '\0')
        length++;

    for (int i = 0; i < length / 2; i++)
        if (word[i] != word[length - i - 1])  
            return 0;
    return 1;
}

int main() {
    char word[] = ""radar"";
    int length = 0;
    while (word[length] != '\0') length++;
    printf(""%d"", length);
    return 0;
}","#include <stdio.h>

int IsPalindrome(char *word)
{
    int length = 0;
    
    while (word[length] != '\0')
        length++;

    for (int i = 0; i < length / 2; i++)
        if (word[i] != word[length - i - 1])  
            return 0;
    return 1;
}

int main() {
    char word[] = ""code"";
    int length = 0;
    while (word[length] != '\0') length++;
    int i = 0;
    printf(""i = %d, length - i - 1 = %d"", i, length - i - 1);
    return 0;
}"
"int IsPalindrome(char *word)
{
    int palindromic = 1;
	int length = strlen(word) - 1;
	for (int i = 0; i < length; i++) {
		if (word[i] != word[length - i]) {
			palindromic = 0;
		}
	}

	return palindromic;
}","If the input word is 'racecar', what is the value of the variable 'length' after it is initialized?","If the input word is 'hello', what is the value of 'palindromic' after the first iteration of the for loop (when i = 0)?",6,0,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int palindromic = 1;
	int length = strlen(word) - 1;
	for (int i = 0; i < length; i++) {
		if (word[i] != word[length - i]) {
			palindromic = 0;
		}
	}

	return palindromic;
}

int main() {
    char word[] = ""racecar"";
    printf(""%d"", (int)strlen(word) - 1);
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int palindromic = 1;
	int length = strlen(word) - 1;
	for (int i = 0; i < length; i++) {
		if (word[i] != word[length - i]) {
			palindromic = 0;
		}
	}

	return palindromic;
}

int main() {
    char word[] = ""hello"";
    int palindromic = 1;
    int length = strlen(word) - 1;
    if (word[0] != word[length - 0]) {
        palindromic = 0;
    }
    printf(""%d"", palindromic);
    return 0;
}"
"int IsPalindrome(char *word)
{
    int len = strlen(word);
    for (int i = 0; i<len/2; i++) {
        if (word[i] != word[(len-1-i)]) {
            return 0;
        }
    }
    return 1;
}","If the input word is 'radar', what is the value of the expression (len-1-i) during the first iteration of the loop (when i = 0)?","For the input word 'apple', at which value of 'i' does the function first encounter the return 0 statement?",4,0,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int len = strlen(word);
    for (int i = 0; i<len/2; i++) {
        if (word[i] != word[(len-1-i)]) {
            return 0;
        }
    }
    return 1;
}

int main() {
    char *word = ""radar"";
    int len = strlen(word);
    int i = 0;
    printf(""%d"", len - 1 - i);
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int len = strlen(word);
    for (int i = 0; i<len/2; i++) {
        if (word[i] != word[(len-1-i)]) {
            printf(""%d"", i);
            return 0;
        }
    }
    return 1;
}

int main() {
    IsPalindrome(""apple"");
    return 0;
}"
"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int length = strlen(word);
    int counter = 0;
for (int i = 1;i<= length;i++)
{
    if (word[i-1] == word[length-i])
    {
        counter = counter+1;
    }
    else if ((word[i-1] != word[length-i]))
    {
        counter = counter;
    }
    
    
}
if (counter == length)
{
    return 1;
}
else {
    return 0;
}

}","If the input word is 'racecar', what is the value of the variable 'counter' after the for loop finishes executing?","If the input word is 'hello', how many times will the 'else if' block be executed during the loop?",7,4,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int length = strlen(word);
    int counter = 0;
for (int i = 1;i<= length;i++)
{
    if (word[i-1] == word[length-i])
    {
        counter = counter+1;
    }
    else if ((word[i-1] != word[length-i]))
    {
        counter = counter;
    }
}
    return counter;
}

int main() {
    printf(""%d"", IsPalindrome(""racecar""));
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    int length = strlen(word);
    int counter = 0;
    int else_if_count = 0;
for (int i = 1;i<= length;i++)
{
    if (word[i-1] == word[length-i])
    {
        counter = counter+1;
    }
    else if ((word[i-1] != word[length-i]))
    {
        counter = counter;
        else_if_count++;
    }
}
    return else_if_count;
}

int main() {
    printf(""%d"", IsPalindrome(""hello""));
    return 0;
}"
"int IsPalindrome(char* word) {
	int length = strlen(word);

	int i = 0;
	int flag = 1;
	//printf(""i=%d, flag=%d, length=%d, halfway=%d\n"", i, flag, length, floor(length / 2) - 1);
	while (flag == 1 && i<=floor(length/2)-1) {
		//printf(""i=%d: %c -- %c\n"", i, word[i], word[length - 1 - i]);
		if (word[i] != word[length - 1 - i]) {
			//printf(""%c -- %c\n"", word[i], word[length-1-i]);
			flag = 0;
			break;
		}
		i++;
	}
	return flag;
}","If the input word is 'radar', what is the value of the variable 'i' immediately after the while loop terminates?","If the input word is 'apple', at which index 'i' does the 'if' condition first evaluate to true, causing the loop to break?",2,0,"#include <stdio.h>
#include <string.h>
#include <math.h>

int IsPalindrome(char* word) {
	int length = strlen(word);

	int i = 0;
	int flag = 1;
	while (flag == 1 && i<=floor(length/2)-1) {
		if (word[i] != word[length - 1 - i]) {
			flag = 0;
			break;
		}
		i++;
	}
    printf(""%d"", i);
	return flag;
}

int main() {
    IsPalindrome(""radar"");
    return 0;
}","#include <stdio.h>
#include <string.h>
#include <math.h>

int IsPalindrome(char* word) {
	int length = strlen(word);

	int i = 0;
	int flag = 1;
	while (flag == 1 && i<=floor(length/2)-1) {
		if (word[i] != word[length - 1 - i]) {
			printf(""%d"", i);
			flag = 0;
			break;
		}
		i++;
	}
	return flag;
}

int main() {
    IsPalindrome(""apple"");
    return 0;
}"
"int IsPalindrome(char string[]) {

	int is_identical = 0;
	int string_length = strlen(string);

	char new_string[100];

	for (int i = 0; i < string_length; i++) {

		new_string[i] = string[string_length - 1 - i];

	}

	new_string[string_length] = '\0';

	if (strcmp(string, new_string) == 0) {

		is_identical = 1;

	}

	return is_identical;
}","If the input string is 'hello', what will be the value of new_string[0] after the first iteration of the for loop?","If the input string is 'racecar', what is the value of string_length and what index is used to place the null terminator in new_string?",o,string_length is 7; the null terminator is placed at index 7.,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char string[]) {
	int is_identical = 0;
	int string_length = strlen(string);

	char new_string[100];

	for (int i = 0; i < string_length; i++) {

		new_string[i] = string[string_length - 1 - i];

	}

	new_string[string_length] = '\0';

	if (strcmp(string, new_string) == 0) {

		is_identical = 1;

	}

	return is_identical;
}

int main() {
    char test[] = ""hello"";
    char new_string[100];
    int string_length = strlen(test);
    new_string[0] = test[string_length - 1 - 0];
    printf(""%c"", new_string[0]);
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindrome(char string[]) {
	int is_identical = 0;
	int string_length = strlen(string);

	char new_string[100];

	for (int i = 0; i < string_length; i++) {

		new_string[i] = string[string_length - 1 - i];

	}

	new_string[string_length] = '\0';

	if (strcmp(string, new_string) == 0) {

		is_identical = 1;

	}

	return is_identical;
}

int main() {
    char test[] = ""racecar"";
    int len = strlen(test);
    printf(""%d, %d"", len, len);
    return 0;
}"
"int IsPalindrome(char *word)
{
   int length = 0;
    while (word[length] != '\0')
    {
        length++;
    }
    // printf(""Length = %d\n"", length);
    
    
    // printf(""odd\n"");
    // printf(""length/2 = %d"", length/2);
    for (int j = 0; j < (length/2); j++)
    {
        // printf(""word[j] == %c\n"", word[j]);
        // printf(""other = %c\n"", word[length-j-1]);
        if (word[j] != word[length-j-1])
        {
            return 0;
        }
    }
    

  

    //printf(""%d\n"", i/2); // if length =3 prints 1

    return 1; 
}","If the input string is 'radar', what is the value of the variable 'length' after the while loop finishes executing?","If the input string is 'apple', during the first iteration of the for loop (j = 0), what are the characters being compared by the if statement?",5,word[0] ('a') and word[4] ('e'),"#include <stdio.h>

int IsPalindrome(char *word)
{
   int length = 0;
    while (word[length] != '\0')
    {
        length++;
    }
    return length;
}

int main() {
    char word[] = ""radar"";
    printf(""%d\n"", IsPalindrome(word));
    return 0;
}","#include <stdio.h>

int IsPalindrome(char *word)
{
   int length = 0;
    while (word[length] != '\0')
    {
        length++;
    }
    for (int j = 0; j < (length/2); j++)
    {
        if (j == 0) {
            printf(""%c and %c\n"", word[j], word[length-j-1]);
        }
        if (word[j] != word[length-j-1])
        {
            return 0;
        }
    }
    return 1; 
}

int main() {
    char word[] = ""apple"";
    IsPalindrome(word);
    return 0;
}"
"int IsPalindrome(char *word)
{
    for (int i = 0; i < (strlen(word)) / 2; i++) {
		if (word[i] != word[strlen(word) - i - 1]) {
			return 0;
		}
	}
	return 1;
}","If the input word is 'radar', what is the value of the expression (strlen(word) - i - 1) during the first iteration of the loop (when i = 0)?","For the input word 'apple', at which index 'i' does the function first encounter a mismatch and return 0?",4,0,"#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    for (int i = 0; i < (strlen(word)) / 2; i++) {
		if (word[i] != word[strlen(word) - i - 1]) {
			return 0;
		}
	}
	return 1;
}

int main() {
    char *word = ""radar"";
    int i = 0;
    printf(""%d"", (int)strlen(word) - i - 1);
    return 0;
}","#include <stdio.h>
#include <string.h>

int IsPalindrome(char *word)
{
    for (int i = 0; i < (strlen(word)) / 2; i++) {
		if (word[i] != word[strlen(word) - i - 1]) {
            printf(""%d"", i);
			return 0;
		}
	}
	return 1;
}

int main() {
    IsPalindrome(""apple"");
    return 0;
}"
